Kernel_Index,Kernel_Name,Kernel,Num_Samples_GP,RMSE,Sampling_Time,Training_Time,R2,MAPE,Y_TEST_MEAN,Training_ratio,RMSE_NORM
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",10,188644.2166022163,51.27044892311096,0.41416263580322266,0.1148279000657576,0.12062818986293737,1476694.9907195177,75,0.1277475834805261
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",12,53837.87288538956,60.59805202484131,0.16838741302490234,0.9854313282357006,0.03779591103584842,1427983.003401872,75,0.037702040400433366
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",14,21432.81518651618,69.74369716644287,0.09428572654724121,0.9938854915891305,0.015011531175954506,1316010.6965776575,75,0.016286201352506587
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",16,13558.93647003205,79.95330166816711,0.18454623222351074,0.9984256769248995,0.006784616471352197,1550960.450578332,75,0.008742283831271201
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",18,28876.20960421663,89.9574863910675,0.10840177536010742,0.972901900212021,0.019828075573398215,1403948.608193269,75,0.020567853720356053
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",20,31011.697541839607,99.11526107788086,0.20441651344299316,0.9973187542580425,0.020193088427314758,1594610.7839856185,75,0.019447816265438785
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",22,18665.931472900957,108.59446382522583,0.12587213516235352,0.9981790482294881,0.011131285324818503,1457663.3393333282,75,0.01280537897141458
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",24,4428.768418100306,120.44353890419006,3.5434985160827637,0.9998971226717038,0.003102057241682147,1304813.0777551173,75,0.0033941784410375766
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",26,19161.709211116737,129.9661421775818,2.404327154159546,0.9928347469648352,0.012165128782125065,1377186.67633305,75,0.013913661481345025
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",28,6370.271539402604,140.3390510082245,2.7080211639404297,0.9995109408126072,0.004705652258939369,1327444.9172735836,75,0.0047988970815349506
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",30,13510.353118815683,147.13928508758545,4.867710113525391,0.998536578836788,0.00803395063514301,1468007.2180577465,75,0.009203192567874847
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",32,5603.577834846697,159.73448252677917,7.7353198528289795,0.9998418468847328,0.0030372435909455197,1491292.827734379,75,0.0037575301983848713
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",34,7312.479716836596,173.4197974205017,6.098238468170166,0.9987870265602944,0.00336954702992141,1636737.750852754,75,0.004467716170795677
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",36,7446.179512178341,178.69598293304443,3.8473997116088867,0.9993151759699824,0.003549808286313965,1530329.6123791868,75,0.004865735755189267
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",38,6598.916846751514,191.46900415420532,5.6819233894348145,0.9996006679493301,0.004428747723228991,1282812.5245239665,75,0.0051441007322564755
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",40,2983.8181411109667,202.84629130363464,14.17057180404663,0.9997980703236895,0.0015691870399396034,1378726.6964736255,75,0.0021641839160311395
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",42,2665.2004618675505,211.38393473625183,6.932287931442261,0.9999493243752727,0.0013875542241096929,1578806.180915939,75,0.0016881112413186423
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",44,4921.068146546437,224.3620948791504,2.8697690963745117,0.999822706395553,0.0027949984229088034,1448966.8411044339,75,0.00339626001571954
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",46,2554.385436343288,234.7328758239746,7.140523910522461,0.9999123571415857,0.0018128521778358027,1376338.4286911318,75,0.0018559282972084514
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",48,3884.080057815981,242.39808297157288,5.08454442024231,0.9998268687720943,0.002603553945356701,1338403.9124038694,75,0.0029020238373630384
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",50,1998.4176068775105,253.56615829467773,10.073846101760864,0.999928529198043,0.001215051785378838,1354068.9457947793,75,0.0014758610431793977
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",52,3234.275014679011,267.9383900165558,6.323302507400513,0.9999143368674484,0.001634478457278424,1543311.472901002,75,0.0020956722421038325
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",54,1931.054066121454,276.23331117630005,9.479690551757812,0.9999538963042544,0.0010915551089902943,1502219.7414069492,75,0.0012854671077034757
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",56,1673.2269572616322,286.85920214653015,12.491480350494385,0.9999733290245446,0.0008806262286441043,1454168.2542666506,75,0.0011506419235547502
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",58,1712.3942880584075,296.56724309921265,4.706851243972778,0.99996828664227,0.0012326479971002558,1296240.8666358367,75,0.0013210463673334286
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",60,2133.8567521779537,306.06155467033386,8.187072992324829,0.9999721134114206,0.0011970770492108341,1431582.8327455341,75,0.001490557656440722
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",62,6198.422513129776,317.0505862236023,5.46746301651001,0.9994878079530357,0.0027662520765594266,1376328.3078666567,75,0.0045035929855555224
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",64,1077.2451728415024,319.6466007232666,6.18862771987915,0.9999891464389984,0.0006505656194511063,1516449.5548723144,75,0.0007103732329112701
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",66,1731.4351634365833,335.0799412727356,11.110485553741455,0.9999607193134664,0.0008684055630865185,1458417.74719024,75,0.0011872011066598259
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",68,1324.009418631313,344.36566185951233,0.6070637702941895,0.9999856783577123,0.0008485004186690543,1366499.077341899,75,0.0009689061929019108
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",70,1396.432281562225,351.2822587490082,9.271091222763062,0.9999856477009764,0.0005951135531951245,1482110.3720108296,75,0.0009421918285799712
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",72,2369.8907357416037,358.64144372940063,7.783141851425171,0.999961367214068,0.0015287105960367238,1295216.397900314,75,0.0018297257042015937
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",74,2341.672473124257,370.99488615989685,9.101296424865723,0.9999435696232422,0.0008281958711626469,1511473.4974567778,75,0.0015492646593303694
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",76,5571.006370004172,378.5037353038788,7.7968666553497314,0.9997028685514094,0.00315653369787257,1234979.8794110462,75,0.004511009825245856
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",78,1990.377623073545,386.3866460323334,6.048415422439575,0.9999349411193609,0.0008203527796726727,1496870.3175265896,75,0.0013296927594652428
1,RationalQuadratic,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",80,1100.964789379616,404.26677560806274,14.961231470108032,0.9999900928934651,0.0006562368229815871,1583636.9430533852,75,0.0006952128732592353
